ARG,ErmC,TEM-104,TEM-135,TEM-34,catA1,farA,farB,macA,macB,mtrA,mtrC,mtrD,mtrE,tet(M)
485_12895,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_12896,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_12897,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_12898,0,0,0,0,0,1,0,1,1,1,0,0,1,0
485_12899,0,0,0,0,0,1,0,1,1,1,0,0,1,0
485_129,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_12900,0,0,0,0,0,1,0,1,1,1,0,0,1,0
485_12901,0,0,0,0,0,1,0,1,1,1,0,0,1,0
485_12902,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_12903,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_12904,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_12906,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_12907,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_12911,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_12915,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_12917,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_12918,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_12919,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_12920,0,0,0,0,0,1,0,1,1,1,0,0,1,0
485_12921,0,0,0,0,0,1,0,1,1,1,0,0,1,0
485_12922,0,0,0,0,0,1,0,1,1,1,0,0,0,0
485_12923,0,0,0,0,0,1,0,1,1,1,0,0,1,0
485_12924,0,0,0,0,0,1,0,1,1,1,0,0,1,0
485_12925,0,0,1,0,0,1,0,1,1,1,0,1,1,0
485_12926,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_12927,0,0,0,0,0,1,0,1,1,1,0,0,1,0
485_12928,0,0,0,0,0,1,0,1,1,1,0,1,1,1
485_12930,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_12931,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_12932,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_12933,0,0,1,0,0,1,0,1,1,1,0,1,1,0
485_12934,0,0,0,0,0,1,0,1,1,1,0,0,1,0
485_12935,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_12936,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_12937,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_12938,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_12939,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_12940,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_12941,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_12942,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_12943,0,0,0,1,0,1,0,1,1,1,0,1,1,0
485_12944,0,0,0,0,0,1,0,1,1,1,0,0,1,0
485_12945,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_12946,0,0,0,0,0,1,0,1,1,1,0,0,1,0
485_12947,0,0,0,0,0,1,0,1,1,1,0,0,1,0
485_12948,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_12949,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_12950,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_12951,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_12952,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_12953,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_12959,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_12960,0,0,0,0,0,1,0,1,1,1,0,1,1,1
485_12965,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_12966,0,0,0,0,0,1,0,1,1,1,0,0,1,0
485_12967,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_12968,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_12969,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_12970,0,0,0,0,0,1,0,1,1,1,0,1,1,1
485_12971,0,0,0,0,0,1,0,1,1,1,0,0,1,0
485_12972,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_12973,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_12974,0,0,0,0,0,1,0,1,1,1,0,0,1,0
485_12975,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_12976,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_12977,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_12978,0,0,0,1,0,1,0,1,1,1,0,1,1,0
485_12979,0,0,0,0,0,1,0,1,1,1,0,1,1,1
485_12980,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_12981,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_12988,0,0,1,0,0,1,0,1,1,1,0,1,1,0
485_12997,0,0,0,0,0,1,0,1,1,1,0,0,1,0
485_12999,0,0,1,0,0,1,0,1,1,1,0,1,1,1
485_130,0,0,0,0,0,1,0,1,1,1,0,0,1,0
485_13000,0,0,0,0,0,1,0,1,1,1,0,0,1,0
485_13001,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13002,0,0,0,0,0,1,0,1,1,1,0,0,1,0
485_13003,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13005,0,0,0,0,0,1,0,1,1,1,0,0,1,0
485_13007,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13009,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13010,0,0,0,0,0,1,0,1,1,1,0,0,1,0
485_13011,0,0,0,0,0,1,0,1,1,1,0,0,1,0
485_13012,0,0,0,0,0,1,0,1,1,1,0,0,1,0
485_13013,0,0,0,0,0,1,0,1,1,1,0,0,1,0
485_13014,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13015,0,0,0,0,0,1,0,1,1,1,0,0,1,0
485_13016,0,0,0,0,0,1,0,1,1,1,0,0,1,0
485_13017,0,0,0,0,0,1,0,1,1,1,0,0,1,0
485_13018,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13019,0,0,0,0,0,1,0,1,1,1,0,0,1,0
485_13020,0,0,0,0,0,1,0,1,1,1,0,0,1,0
485_13021,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13022,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13023,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13024,0,0,1,0,0,1,0,1,1,1,0,1,1,0
485_13025,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13026,0,0,1,0,0,1,0,1,1,1,0,1,1,0
485_13027,0,0,0,0,0,1,0,1,1,1,0,0,1,0
485_13028,0,0,0,0,0,1,0,1,1,1,0,0,1,0
485_13029,0,0,0,0,0,1,0,1,1,1,0,0,1,0
485_13030,0,0,0,0,0,1,0,1,1,1,0,0,1,0
485_13031,0,0,0,1,0,1,0,1,1,1,0,1,1,1
485_13032,0,0,0,0,0,1,0,1,1,1,0,0,1,0
485_13033,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13034,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13035,0,0,0,0,0,1,0,1,1,1,0,0,1,0
485_13036,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13037,0,0,0,0,0,1,0,1,1,1,0,0,1,0
485_13038,0,0,0,0,0,1,0,1,1,1,0,0,1,0
485_13039,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13040,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13041,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13042,0,0,0,0,0,1,0,1,1,1,0,0,1,0
485_13043,0,0,0,0,0,1,0,1,1,1,0,0,1,0
485_13044,0,0,0,0,0,1,0,1,1,1,0,0,1,0
485_13045,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13046,0,0,0,0,0,1,0,1,1,1,0,0,1,0
485_13047,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13048,0,0,0,0,0,1,0,1,1,1,0,0,1,0
485_13049,0,0,0,0,0,1,0,1,1,1,0,0,1,0
485_13050,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13051,0,0,0,0,0,1,0,1,1,1,0,0,1,0
485_13052,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13053,0,0,0,0,0,1,0,1,1,1,0,0,1,0
485_13054,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13055,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13056,0,0,0,1,0,1,0,1,1,1,0,1,1,1
485_13057,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13058,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13059,0,0,0,0,0,1,0,1,1,1,0,0,1,0
485_13060,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13061,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13062,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13063,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13064,0,0,0,0,0,1,0,1,1,1,0,0,1,0
485_13065,0,0,0,0,0,1,0,1,1,1,0,1,1,1
485_13066,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13067,0,0,0,0,0,1,0,1,1,1,0,0,1,0
485_13068,0,0,0,0,0,1,0,1,1,1,0,0,1,0
485_13069,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13070,0,0,0,0,0,1,0,1,1,1,0,0,1,0
485_13071,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13072,0,0,1,0,0,1,0,1,1,1,0,1,1,0
485_13073,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13074,0,0,0,0,0,1,0,1,1,1,0,0,1,0
485_13075,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13076,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13077,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13078,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13079,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13080,0,0,0,0,0,1,0,1,1,1,0,0,1,0
485_13081,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13082,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13083,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13084,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13085,0,0,0,0,0,1,0,1,1,1,0,0,1,0
485_13086,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13087,0,0,0,0,0,1,0,1,1,1,0,0,1,0
485_13088,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13089,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13090,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13091,0,0,0,0,0,1,0,1,1,1,0,0,1,0
485_13092,0,0,0,0,0,1,0,1,1,1,0,0,1,0
485_13093,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13094,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13095,0,0,0,0,0,1,0,1,1,1,0,1,1,1
485_13096,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13097,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13099,0,0,0,0,0,1,0,1,1,1,0,0,1,0
485_131,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13100,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13103,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13104,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13105,0,0,0,0,0,1,0,1,1,1,0,0,1,0
485_13107,0,0,0,0,0,1,0,1,1,1,0,0,1,0
485_13108,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13111,0,0,0,0,0,1,0,1,1,1,0,0,1,0
485_13112,0,0,0,1,0,1,0,1,1,1,0,1,1,1
485_13113,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13118,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13119,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13120,0,0,0,1,0,1,0,1,1,1,0,1,1,1
485_13121,0,0,0,1,0,1,0,1,1,1,0,1,1,1
485_13122,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13123,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13124,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13125,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13126,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13127,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13128,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13129,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13130,0,0,0,0,0,1,0,1,1,1,0,0,0,0
485_13131,0,0,0,0,0,1,0,1,1,1,0,0,1,0
485_13132,0,0,0,1,0,1,0,1,1,1,0,1,1,0
485_13133,0,0,0,0,0,1,0,1,1,1,0,0,1,0
485_13134,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13135,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13136,0,0,0,0,0,1,0,1,1,1,0,0,1,0
485_13137,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13138,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13139,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13140,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13141,0,0,0,1,0,1,0,1,1,1,0,1,1,1
485_13142,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13143,0,0,1,0,0,1,0,1,1,1,0,1,1,0
485_13144,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13145,0,0,0,0,0,1,0,1,1,1,0,0,1,0
485_13146,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13147,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13148,0,0,0,0,0,1,0,1,1,1,0,0,1,0
485_13151,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13152,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13153,0,0,0,0,0,1,0,1,1,1,0,0,1,0
485_13157,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13159,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13160,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13161,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13163,0,0,0,0,0,1,0,1,1,1,0,0,1,0
485_13164,0,0,1,0,0,1,0,1,1,1,0,1,1,0
485_13165,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13166,0,0,0,0,0,1,0,1,1,1,0,0,1,0
485_13167,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13168,0,0,0,0,0,1,0,1,1,1,0,0,1,0
485_13169,0,0,1,0,0,1,0,1,1,1,0,1,1,0
485_13170,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13171,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13172,0,0,0,0,0,1,0,1,1,1,0,0,1,0
485_13173,0,0,0,0,0,1,0,1,1,1,0,0,1,0
485_13174,0,0,0,0,0,1,0,1,1,1,0,0,1,0
485_13175,0,0,0,0,0,1,0,1,1,1,0,1,1,1
485_13176,0,0,0,0,0,1,0,1,1,1,0,0,1,0
485_13177,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13180,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13183,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13184,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13186,0,0,0,0,0,1,0,1,1,1,0,0,1,0
485_13188,0,0,1,0,0,1,0,1,1,1,0,1,1,0
485_13189,0,0,0,0,0,1,0,1,1,1,0,1,1,1
485_13190,0,0,0,0,0,1,0,1,1,1,0,0,1,0
485_13191,0,0,0,0,0,1,0,1,1,1,0,0,1,0
485_13192,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13193,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13194,0,0,0,0,0,1,0,1,1,1,0,1,1,1
485_13196,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13197,0,0,0,1,0,1,0,1,1,1,0,1,1,1
485_13198,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13199,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_132,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13200,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13201,0,0,0,0,0,1,0,1,1,1,0,0,1,0
485_13202,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13203,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13204,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13205,0,0,0,0,0,1,0,1,1,1,0,0,1,0
485_13206,0,0,0,0,0,1,0,1,1,1,0,0,1,0
485_13207,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13208,0,0,0,0,0,1,0,1,1,1,0,0,1,0
485_13209,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13210,0,0,0,0,0,1,0,1,1,1,0,0,1,0
485_13211,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13212,0,0,0,0,0,1,0,1,1,1,0,0,1,0
485_13213,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13214,0,0,1,0,0,1,0,1,1,1,0,1,1,0
485_13215,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13216,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13217,0,0,0,0,0,1,0,1,1,1,0,1,1,1
485_13218,0,0,0,0,0,1,0,1,1,1,0,0,1,0
485_13219,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13220,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13221,0,0,0,0,0,1,0,1,1,1,0,0,1,0
485_13222,0,0,0,0,0,1,0,1,1,1,0,0,1,0
485_13223,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13224,0,0,0,0,0,1,0,1,1,1,0,1,1,1
485_13225,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13226,0,0,0,0,0,1,0,1,1,1,0,0,1,0
485_13227,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13228,0,0,0,0,0,1,0,1,1,1,0,0,1,0
485_13229,0,0,0,0,0,1,0,1,1,1,0,0,1,0
485_13230,0,0,0,0,0,1,0,1,1,1,0,0,1,0
485_13231,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13232,0,0,0,1,0,1,0,1,1,1,0,1,1,1
485_13233,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13234,0,0,0,0,0,1,0,1,1,1,0,0,1,0
485_13235,0,0,0,1,0,1,0,1,1,1,0,1,1,1
485_13236,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13237,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13238,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13241,0,0,0,0,0,1,0,1,1,1,0,0,0,0
485_13244,0,0,0,0,0,1,0,1,1,1,0,0,1,0
485_13246,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13247,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13249,0,0,0,0,0,1,0,1,1,1,0,0,1,0
485_13250,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13251,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13252,0,0,0,0,0,1,0,1,1,1,0,0,1,0
485_13253,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13254,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13255,0,0,0,0,0,1,0,1,1,1,0,0,1,0
485_13256,0,0,0,1,0,1,0,1,1,1,0,1,1,1
485_13257,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13258,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13259,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13260,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13261,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13262,0,0,0,1,0,1,0,1,1,1,0,1,1,1
485_13263,0,0,0,0,0,1,0,1,1,1,0,0,1,0
485_13264,0,0,0,0,0,1,0,1,1,1,0,0,1,0
485_13265,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13266,0,0,0,0,0,1,0,1,1,1,0,0,1,0
485_13267,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13268,0,0,0,0,0,1,0,1,1,1,0,0,1,0
485_13269,0,0,0,0,0,1,0,1,1,1,0,0,1,0
485_13270,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13271,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13272,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13273,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13274,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13275,0,0,0,0,0,1,0,1,1,1,0,0,1,0
485_13276,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13277,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13278,0,0,0,0,0,1,0,1,1,1,0,0,1,0
485_13279,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13280,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13281,0,0,0,1,0,1,0,1,1,1,0,1,1,0
485_13282,0,0,0,0,0,1,0,1,1,1,0,0,1,0
485_13283,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13284,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13285,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13286,0,0,0,0,0,1,0,1,1,1,0,0,1,0
485_13288,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13289,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13290,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13291,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13292,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13293,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13294,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13295,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13296,0,0,0,0,0,1,0,1,1,1,0,0,1,0
485_13297,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13298,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13299,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_133,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13300,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13301,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13302,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13303,0,0,0,0,0,1,0,1,1,1,0,0,1,0
485_13304,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13305,0,0,0,1,0,1,0,1,1,1,0,1,1,0
485_13306,0,0,0,0,0,1,0,1,1,1,0,0,1,0
485_13307,0,0,0,0,0,1,0,1,1,1,0,0,1,0
485_13308,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13309,0,0,0,0,0,1,0,1,1,1,0,0,1,0
485_13310,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13311,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13312,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13313,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13314,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13315,0,0,0,0,0,1,0,1,1,1,0,0,1,0
485_13316,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13317,0,0,0,0,0,1,0,1,1,1,0,0,1,0
485_13318,0,0,0,0,0,1,0,1,1,1,0,0,1,0
485_13319,0,0,1,0,0,1,0,1,1,1,0,1,1,1
485_13320,0,0,0,0,0,1,0,1,1,1,0,0,1,0
485_13321,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13322,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13323,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13324,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13325,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_13336,0,0,0,0,0,1,0,1,1,1,0,0,1,0
485_13337,0,0,0,0,0,1,0,1,1,1,0,1,1,0
