ARG,AAC(2')-Ic,CfxA,Erm(37),PC1_blaZ,Rv1877,Rv2856,TEM-116,blaC,efpA,mfpA,msrA,patB,vgaA
1397915_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1397916_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1397917_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1397918_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1397919_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1397920_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1397921_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1397922_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1397923_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1397924_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1397925_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1397926_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1397927_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1397928_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1397929_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1397930_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1397931_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1397932_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1397933_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1397934_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1397935_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1397936_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1397937_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1397938_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1397939_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1397940_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1397941_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1400870_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1400871_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1400872_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1400873_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1400874_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1400875_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1400877_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1400879_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1400880_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1400881_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1400882_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1400883_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1400884_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1400885_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1400886_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1400887_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1400888_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1400889_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1400891_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1400893_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1400894_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1400895_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1400897_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1400898_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1400899_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1400902_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1400904_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1400907_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1400908_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1400909_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1400911_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1400912_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1400914_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1400915_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1400916_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1400918_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1400920_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1400921_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1400922_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1400923_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1400924_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1400925_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1400926_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1400927_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1400928_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1400929_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1400930_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1400931_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1400932_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1400933_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1400935_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1400936_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1400937_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1400938_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1400939_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1400940_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1400941_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1402583_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1402584_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1402585_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1402586_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1417008_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1417009_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1417010_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1417011_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1417012_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1417013_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1417014_3,0,0,1,0,1,1,0,1,1,1,0,0,0
1417015_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1417016_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1417017_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1417018_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1417019_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1417020_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1417021_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1417023_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1417026_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1417027_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1417028_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1417029_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1417030_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1417031_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1418251_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1418252_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1418253_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1418254_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1418255_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1418256_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1421917_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1421918_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1421919_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1421920_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1421921_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1421922_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1421923_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1421924_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1421925_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1421926_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1421927_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1421928_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1421929_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1421930_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1421931_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1421932_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1421933_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1421934_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1421935_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1421936_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1421937_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1421938_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1421939_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1421940_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1421941_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1421942_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1421943_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1421944_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1421945_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1421946_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1421947_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1421948_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1421949_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1421950_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1421951_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1421952_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1421953_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1421954_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1421955_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1421956_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1421959_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1421960_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1421961_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1421962_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1421964_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1421965_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1421966_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1421967_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1421968_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1421969_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1421970_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1421971_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1421972_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1421973_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1421974_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1421975_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1421976_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1421982_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1421983_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1421984_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1421985_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1421986_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1421987_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1421988_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1421989_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1421990_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1421991_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1421992_3,1,0,1,0,0,1,0,1,1,1,0,0,0
1421993_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1421994_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1421995_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1421996_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1421997_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1421998_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1421999_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1422000_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1422001_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1422002_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1422003_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1422004_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1422005_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1422006_3,1,0,1,0,0,1,0,1,1,1,0,0,0
1422007_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1422008_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1422009_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1422010_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1422011_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1422012_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1422013_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1422014_3,1,0,1,0,0,1,0,1,1,1,0,0,0
1422015_3,1,0,1,0,0,1,0,1,1,1,0,0,0
1422016_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1422017_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1422018_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1422019_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1422020_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1422021_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1422022_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1422023_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1422024_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1422025_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1422026_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1422027_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1422033_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1422034_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1422035_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1422036_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1422037_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1422038_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1422039_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1422040_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1422041_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1422042_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1422043_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1422044_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1422045_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1422046_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1422047_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1422048_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1422051_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1422052_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1422053_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1422054_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1422055_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1422056_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1422057_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1422058_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1422059_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1422060_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1422061_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1422062_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1422063_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1422064_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1422065_3,1,0,1,0,0,1,0,1,1,1,0,0,0
1422066_3,1,0,1,0,0,1,0,1,1,1,0,0,0
1422067_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1422068_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1422071_3,1,0,1,0,1,1,0,1,1,1,0,0,0
